,gf_led,led_size
ZONE-62,1177|271,12|6
ZONE-63,1177|315,
ZONE-60,1247|264,
ZONE-61,1243|316,
ZONE-58,1290|268,
ZONE-59,1289|316,
ZONE-56,1343|269,
ZONE-57,1342|321,
ZONE-47,1163|449,
ZONE-46,1165|495,
ZONE-48,1245|447,
ZONE-49,1245|492,
ZONE-50,1291|450,
ZONE-51,1290|495,
ZONE-52,1342|441,
ZONE-53,1340|472,
ZONE-64,1682|378,
ZONE-06,410|360,
ZONE-07,391|354,
ZONE-55,1451|285,
ZONE-54,1454|466,
ZONE-65,1788|352,
ZONE-66,1849|291,
ZONE-01,484|309,
ZONE-02,431|377,
ZONE-03,411|403,
ZONE-05,362|381,
ZONE-08,357|297,
ZONE-09,379|347,
ZONE-11,123|505,
ZONE-12,194|580,
ZONE-13,282|614,
ZONE-14,320|613,
ZONE-15,309|561,
ZONE-16,340|577,
ZONE-17,395|560,
ZONE-18,447|570,
ZONE-19,374|595,
ZONE-20,547|301,
ZONE-21,397|620,
ZONE-22,418|584,
ZONE-23,244|224,
ZONE-24,228|204,
ZONE-25,256|191,
ZONE-26,291|205,
ZONE-27,303|184,
ZONE-28,353|192,
ZONE-29,384|132,
ZONE-30,474|133,
ZONE-31,515|148,
ZONE-32,573|172,
ZONE-33,488|204,
ZONE-34,574|239,
ZONE-35,623|178,
ZONE-36,675|196,
ZONE-37,730|215,
ZONE-38,771|227,
ZONE-39,727|293,
ZONE-40,683|467,
ZONE-41,694|488,
ZONE-42,772|527,
ZONE-43,737|537,
ZONE-44,700|558,
ZONE-45,675|534,
ZONE-82,214|171,
ZONE-73,546|375,
ZONE-10,138|285,
