0|TROUBL |Sys Initialization|  03:29:09 PM Tuesday, 01-June-2021 
1|CLR TB |Sys Initialization|  03:29:19 PM Tuesday, 01-June-2021 
2|TROUBL |BATTERY|  03:29:27 PM Tuesday, 01-June-2021 
3|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  03:29:38 PM Tuesday, 01-June-2021 1M006
4|SYSTEM RESET|  03:29:55 PM Tuesday, 01-June-2021 
5|TROUBL |BATTERY|  03:32:25 PM Tuesday, 01-June-2021 
6|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  03:32:42 PM Tuesday, 01-June-2021 1M006
7|SYSTEM RESET|  03:32:51 PM Tuesday, 01-June-2021 
8|CLR TB |BATTERY|  03:33:48 PM Tuesday, 01-June-2021 
9|TROUBL |BATTERY|  03:33:57 PM Tuesday, 01-June-2021 
10|SYSTEM RESET|  03:34:05 PM Tuesday, 01-June-2021 
11|TROUBL |BATTERY|  03:36:24 PM Tuesday, 01-June-2021 
12|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  03:36:31 PM Tuesday, 01-June-2021 1M006
13|SYSTEM RESET|  03:36:37 PM Tuesday, 01-June-2021 
14|TROUBL |Sys Initialization|  03:36:46 PM Tuesday, 01-June-2021 
15|CLR TB |Sys Initialization|  03:36:51 PM Tuesday, 01-June-2021 
16|TROUBL |BATTERY|  04:00:41 PM Tuesday, 01-June-2021 
17|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  04:00:50 PM Tuesday, 01-June-2021 1M006
18|SYSTEM RESET|  04:00:58 PM Tuesday, 01-June-2021 
19|TROUBL |BATTERY|  04:02:27 PM Tuesday, 01-June-2021 
20|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  04:02:33 PM Tuesday, 01-June-2021 1M006
21|SYSTEM RESET|  04:03:02 PM Tuesday, 01-June-2021 
22|TROUBL |BATTERY|  04:05:28 PM Tuesday, 01-June-2021 
23|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  04:05:38 PM Tuesday, 01-June-2021 1M006
24|SYSTEM RESET|  04:05:44 PM Tuesday, 01-June-2021 
25|TROUBL |BATTERY|  10:26:42 PM Tuesday, 01-June-2021 
26|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  10:26:49 PM Tuesday, 01-June-2021 1M006
27|TROUBL |Sys Initialization|  10:27:04 PM Tuesday, 01-June-2021 
28|CLR TB |BATTERY|  10:27:18 PM Tuesday, 01-June-2021 
29|TROUBL |BATTERY|  10:36:52 PM Tuesday, 01-June-2021 
30|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  10:37:12 PM Tuesday, 01-June-2021 1M006
31|TROUBL |Sys Initialization|  10:37:29 PM Tuesday, 01-June-2021 
32|SYSTEM RESET|  10:37:37 PM Tuesday, 01-June-2021 
33|TROUBL |BATTERY|  10:40:06 PM Tuesday, 01-June-2021 
34|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  10:40:13 PM Tuesday, 01-June-2021 1M006
35|TROUBL |Sys Initialization|  10:40:21 PM Tuesday, 01-June-2021 
36|SYSTEM RESET|  10:40:28 PM Tuesday, 01-June-2021 
37|TROUBL |BATTERY|  10:47:02 PM Tuesday, 01-June-2021 
38|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  10:47:09 PM Tuesday, 01-June-2021 1M006
39|TROUBL |Sys Initialization|  10:47:14 PM Tuesday, 01-June-2021 
40|SYSTEM RESET|  10:47:20 PM Tuesday, 01-June-2021 
41|[3~TROUBL |BATTERY|  10:49:19 PM Tuesday, 01-June-2021 
42|TROUBL |BATTERY|  10:49:35 PM Tuesday, 01-June-2021 
43|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  10:49:42 PM Tuesday, 01-June-2021 1M006
44|TROUBL |Sys Initialization|  10:49:48 PM Tuesday, 01-June-2021 
45|SYSTEM RESET|  10:49:53 PM Tuesday, 01-June-2021 
46|TROUBL |BATTERY|  10:54:01 PM Tuesday, 01-June-2021 
47|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  10:54:06 PM Tuesday, 01-June-2021 1M006
48|TROUBL |Sys Initialization|  10:54:14 PM Tuesday, 01-June-2021 
49|CLR TB |BATTERY|  10:54:21 PM Tuesday, 01-June-2021 
50|SYSTEM RESET|  10:54:29 PM Tuesday, 01-June-2021 
51|TROUBL |BATTERY|  10:54:47 PM Tuesday, 01-June-2021 
52|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  10:54:52 PM Tuesday, 01-June-2021 1M006
53|TROUBL |Sys Initialization|  10:54:58 PM Tuesday, 01-June-2021 
54|SYSTEM RESET|  10:55:09 PM Tuesday, 01-June-2021 
55|SYSTEM RESET|  10:55:28 PM Tuesday, 01-June-2021 
56|SYSTEM RESET|  10:55:32 PM Tuesday, 01-June-2021 
57|ACTIVE  MODULE ADDR 1M006|Z004|  10:08:08 AM Wednesday, 02-June-2021 1M006
58|TROUBL |BATTERY|  12:19:28 PM Wednesday, 02-June-2021 
59|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  12:19:34 PM Wednesday, 02-June-2021 1M006
60|TROUBL |Sys Initialization|  12:19:45 PM Wednesday, 02-June-2021 
61|SYSTEM RESET|  12:19:53 PM Wednesday, 02-June-2021 
62|ACTIVE TRACK SUPERV MODULE ADDR 1M006|Z004|  12:20:04 PM Wednesday, 02-June-2021 1M006
63|ACTIVE TRACK SUPERV MODULE ADDR 1M006|Z004|  12:20:16 PM Wednesday, 02-June-2021 1M006
64|SYSTEM RESET|  12:20:48 PM Wednesday, 02-June-2021 
65|CLR TB |BATTERY|  12:21:24 PM Wednesday, 02-June-2021 
66|CLR TB |Sys Initialization|  12:21:35 PM Wednesday, 02-June-2021 
67|CLR ACTTRACK SUPERV MODULE ADDR 1M006|Z004|  12:21:50 PM Wednesday, 02-June-2021 1M006
68|SYSTEM NORMAL|  12:22:10 PM Wednesday, 02-June-2021 
69|ACTIVE WATERFLOW_S|MODULE ADDR 1M006|Z004|  12:22:18 PM Wednesday, 02-June-2021 1M006
70|SYSTEM RESET|  12:22:31 PM Wednesday, 02-June-2021 
71|SYSTEM RESET|  02:01:43 PM Wednesday, 02-June-2021 
72|TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:02:08 PM Wednesday, 02-June-2021 L03D004
73|CLEARED TROUBLE|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:02:23 PM Wednesday, 02-June-2021 L03D004
74|TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:05:14 PM Wednesday, 02-June-2021 L03D004
75|ACKED TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:05:20 PM Wednesday, 02-June-2021 L03D004
76|CLEARED TROUBLE|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:05:32 PM Wednesday, 02-June-2021 L03D004
77|SYSTEM RESET|  02:16:01 PM Wednesday, 02-June-2021 
78|TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:16:07 PM Wednesday, 02-June-2021 L03D004
79|ACKED TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:16:13 PM Wednesday, 02-June-2021 L03D004
80|CLEARED TROUBLE|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  02:16:21 PM Wednesday, 02-June-2021 L03D004
81|TROUBLE|SYSTEM INITIALIZATION|  02:16:52 PM Wednesday, 02-June-2021 
82|CLEARED TROUBLE|SYSTEM INITIALIZATION|  02:17:01 PM Wednesday, 02-June-2021 
83|FIRE ALARM|FIRE ALARM|FIRE ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  02:17:11 PM Wednesday, 02-June-2021 L03M004
84|ALARM|ALARM|ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  02:21:16 PM Wednesday, 02-June-2021 L03M004
85|ACKNOWLEDGED ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  02:21:28 PM Wednesday, 02-June-2021 L03M004
86|CLEARED ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  02:21:39 PM Wednesday, 02-June-2021 L03M004
87|SYSTEM RESET|  02:21:50 PM Wednesday, 02-June-2021 
88|CLEARED ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  02:22:13 PM Wednesday, 02-June-2021 L03M004
