"ATC-ALL FLOOR-PANEL-1 - LOOPS 1,2,3,4,5,6,7"|G100,,,,,,,,,,,,,
ADDRESS ID,AREA ID,ADDRESS,ADDRESS LABEL,ADDRESS LABEL,GAS STAGES,,,,,,,,
1,ZONE-10,N105L01M083,G100-GF-Y036-0101-RM-083,ENTRANCE SAS,,,,,,,N105L01M083,1,
2,ZONE-10,N105L01D001,G100-GF-Y036-0101-SD-001,ENTRANCE SAS,,,,,,,N105L01D001,1,
3,ZONE-10,N105L01D002,G100-GF-Y036-0101-SD-002,ENTRANCE SAS,,,,,,,N105L01D002,1,
4,ZONE-10,N105L01D003,G100-GF-Y036-0101-SD-003,INTERNAL HALL,,,,,,,N105L01D003,1,
5,ZONE-10,N105L01D004,G100-GF-Y036-0101-SD-004,INTERNAL HALL,,,,,,,N105L01D004,1,
6,ZONE-10,N105L01M084,G100-GF-Y036-0101-RM-084,INTERNAL HALL,,,,,,,N105L01M084,1,
7,ZONE-10,N105L01M001,G100-GF-Y036-0101-MP-001,INTERNAL HALL,,,,,,,N105L01M001,1,
8,ZONE-39,N105L01M002,G100-GF-Y036-0101-MM-002,BUILDING UPS,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M002,1,
9,ZONE-39,N105L01M003,G100-GF-Y036-0101-MM-003,BUILDING UPS,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M003,1,
10,ZONE-39,N105L01M004,G100-GF-Y036-0101-MM-004,BUILDING UPS,"GS-GD,GAS DISCHARGE",,,,,,N105L01M004,1,
11,ZONE-39,N105L01M005,G100-GF-Y036-0101-MM-005,BUILDING UPS,"GS-T,TROUBLE",,,,,,N105L01M005,1,
12,ZONE-10,N105L01M085,G100-GF-Y036-0101-RM-085,CIRCULATION,,,,,,,N105L01M085,1,
13,ZONE-10,N105L01M006,G100-GF-Y036-0101-MP-006,CIRCULATION,,,,,,,N105L01M006,1,
14,ZONE-10,N105L01D005,G100-GF-Y036-0101-SD-005,CIRCULATION,,,,,,,N105L01D005,1,
15,ZONE-10,N105L01D006,G100-GF-Y036-0101-SD-006,CIRCULATION,,,,,,,N105L01D006,1,
16,ZONE-38,N105L01M007,G100-GF-Y036-0101-MM-007,MDB,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M007,1,
17,ZONE-38,N105L01M008,G100-GF-Y036-0101-MM-008,MDB,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M008,1,
18,ZONE-38,N105L01M009,G100-GF-Y036-0101-MM-009,MDB,"GS-GD,GAS DISCHARGE",,,,,,N105L01M009,1,
19,ZONE-38,N105L01M010,G100-GF-Y036-0101-MM-010,MDB,"GS-T,TROUBLE",,,,,,N105L01M010,1,
20,ZONE-37,N105L01D118,G100-GF-Y036-0101-SD-118,SDB,,,,,,,N105L01D118,1,
21,ZONE-37,N105L01M014,G100-GF-Y036-0101-MM-014,SDB,,,,,,,N105L01M014,1,
22,ZONE-10,N105L01D007,G100-GF-Y036-0101-SD-007,PUBLIC TOILETS,,,,,,,N105L01D007,1,
23,ZONE-10,N105L01D117,G100-GF-Y036-0101-SD-117,PUBLIC TOILETS,,,,,,,N105L01D117,1,
24,ZONE-10,N105L01D008,G100-GF-Y036-0101-SD-008,PUBLIC TOILETS,,,,,,,N105L01D008,1,
25,ZONE-10,N105L01D009,G100-GF-Y036-0101-SD-009,PUBLIC TOILETS,,,,,,,N105L01D009,1,
26,ZONE-10,N105L01D010,G100-GF-Y036-0101-SD-010,PLUBING ROOM,,,,,,,N105L01D010,1,
27,ZONE-10,N105L01D011,G100-GF-Y036-0101-SD-011,PLUBING ROOM,,,,,,,N105L01D011,1,
28,ZONE-10,N105L01D012,G100-GF-Y036-0101-SD-012,CIRCULATION,,,,,,,N105L01D012,1,
29,ZONE-10,N105L01D013,G100-GF-Y036-0101-SD-013,CIRCULATION,,,,,,,N105L01D013,1,
30,ZONE-36,N105L01M015,G100-GF-Y036-0101-MM-015,DF ROOM 02,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M015,1,
31,ZONE-36,N105L01M016,G100-GF-Y036-0101-MM-016,DF ROOM 02,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M016,1,
32,ZONE-36,N105L01M017,G100-GF-Y036-0101-MM-017,DF ROOM 02,"GS-GD,GAS DISCHARGE",,,,,,N105L01M017,1,
33,ZONE-36,N105L01M018,G100-GF-Y036-0101-MM-018,DF ROOM 02,"GS-T,TROUBLE",,,,,,N105L01M018,1,
34,ZONE-36,N105L01D080,G100-GF-Y036-0101-LSD-080,DF ROOM 02,,,,,,,N105L01D080,1,
35,ZONE-35,N105L01M086,G100-GF-Y036-0101-RM-086,BUILDING DISTRIBUTO ROOM 1,,,,,,,N105L01M086,1,
36,ZONE-35,N105L01M087,G100-GF-Y036-0101-MM-087,BUILDING DISTRIBUTO ROOM 1,,,,,,,N105L01M087,1,
37,ZONE-35,N105L01M088,G100-GF-Y036-0101-MM-088,BUILDING DISTRIBUTO ROOM 1,,,,,,,N105L01M088,1,
38,ZONE-35,N105L01D081,G100-GF-Y036-0101-LSD-081,BUILDING DISTRIBUTO ROOM 1,,,,,,,N105L01D081,1,
