LOAD CENTRE - A  GENERATOR PLANT| C110 ,,,,,,,,,,,,,,
ADDRESS ID,AREA ID,AL01DL01DRESS,ADDRESS LABEL, ROOM NO / ADDRESS LABEL, ROOM NO,ADDRESS LABEL,INTERFACE,,,,,,,
1,ZONE-02,N171L01M001,C110-GF-Y036-0201-RM-001, / GAS BOTTLE ENCLOSURE 01,,GAS BOTTLE ENCLOSURE 01,,,,,,,,
2,ZONE-02,N171L01M006,C110-GF-Y036-0201-MM-006, / GAS BOTTLE ENCLOSURE 01,,GAS BOTTLE ENCLOSURE 01,,,,,,,,
3,ZONE-02,N171L01M150,C110-GF-Y036-0201-MM-150, / GAS BOTTLE ENCLOSURE 01,,GAS BOTTLE ENCLOSURE 01,,,,,,,,
4,ZONE-02,N171L01M151,C110-GF-Y036-0201-MM-151, / GAS BOTTLE ENCLOSURE 01,,GAS BOTTLE ENCLOSURE 01,,,,,,,,
5,ZONE-02,N171L01M007,C110-GF-Y036-0201-MM-007, / GAS BOTTLE ENCLOSURE 01,,GAS BOTTLE ENCLOSURE 01,,,,,,,,
6,ZONE-02,N171L01M008,C110-GF-Y036-0201-MM-008, / GAS BOTTLE ENCLOSURE 01,,GAS BOTTLE ENCLOSURE 01,,,,,,,,
7,ZONE-02,N171L01M009,C110-GF-Y036-0201-MM-009, / GAS BOTTLE ENCLOSURE 01,,GAS BOTTLE ENCLOSURE 01,,,,,,,,
8,ZONE-02,N171L01M109,C110-GF-Y036-0201-MM-109, / GAS BOTTLE ENCLOSURE 01,,GAS BOTTLE ENCLOSURE 01,,,,,,,,
9,ZONE-01,N171L01M002,C110-GF-Y036-0201-MM-002,02-GF-TR-28 / GENERATOR HALL,02-GF-TR-28,GENERATOR HALL,,,,,,,,
10,ZONE-01,N171L01M003,C110-GF-Y036-0201-MM-003,02-GF-TR-28 / GENERATOR HALL,02-GF-TR-28,GENERATOR HALL,,,,,,,,
11,ZONE-02,N171L01M004,C110-GF-Y036-0201-MM-004, / GAS BOTTLE ENCLOSURE 01,,GAS BOTTLE ENCLOSURE 01,,,,,,,,
12,ZONE-02,N171L01M005,C110-GF-Y036-0201-MM-005, / GAS BOTTLE ENCLOSURE 01,,GAS BOTTLE ENCLOSURE 01,,,,,,,,
13,ZONE-02,N171L01D001,C110-GF-Y036-0201-SD-001,02-ST-01 / STAIRS 01,02-ST-01,STAIRS 01,,,,,,,,
14,ZONE-02,N171L01D003,C110-GF-Y036-0201-SD-003,02-GF-CI-01 / CIRCULATION,02-GF-CI-01,CIRCULATION,,,,,,,,
15,ZONE-09,N171L01M010,C110-GF-Y036-0201-MM-010,02 GF TR 02 / ISO TRANSFORMER,02 GF TR 02,ISO TRANSFORMER,,,,,,,,
16,ZONE-09,N171L01M011,C110-GF-Y036-0201-MM-011,02 GF TR 02 / ISO TRANSFORMER,02 GF TR 02,ISO TRANSFORMER,,,,,,,,
17,ZONE-09,N171L01M101,C110-GF-Y036-0201-MM-101,02 GF TR 02 / ISO TRANSFORMER,02 GF TR 02,ISO TRANSFORMER,,,,,,,,
18,ZONE-09,N171L01M102,C110-GF-Y036-0201-MM-102,02 GF TR 02 / ISO TRANSFORMER,02 GF TR 02,ISO TRANSFORMER,,,,,,,,
19,ZONE-10,N171L01M012,C110-GF-Y036-0201-MM-012,02 GF TR 03 / ISO TRANSFORMER,02 GF TR 03,ISO TRANSFORMER,,,,,,,,
20,ZONE-10,N171L01M103,C110-GF-Y036-0201-MM-103,02 GF TR 03 / ISO TRANSFORMER,02 GF TR 03,ISO TRANSFORMER,,,,,,,,
21,ZONE-10,N171L01M104,C110-GF-Y036-0201-MM-104,02 GF TR 03 / ISO TRANSFORMER,02 GF TR 03,ISO TRANSFORMER,,,,,,,,
22,ZONE-10,N171L01M105,C110-GF-Y036-0201-MM-105,02 GF TR 03 / ISO TRANSFORMER,02 GF TR 03,ISO TRANSFORMER,,,,,,,,
23,ZONE-11,N171L01M013,C110-GF-Y036-0201-MM-013,02 GF TR 04 / ISO TRANSFORMER,02 GF TR 04,ISO TRANSFORMER,,,,,,,,
24,ZONE-11,N171L01M106,C110-GF-Y036-0201-MM-106,02 GF TR 04 / ISO TRANSFORMER,02 GF TR 04,ISO TRANSFORMER,,,,,,,,
25,ZONE-11,N171L01M107,C110-GF-Y036-0201-MM-107,02 GF TR 04 / ISO TRANSFORMER,02 GF TR 04,ISO TRANSFORMER,,,,,,,,
26,ZONE-11,N171L01M108,C110-GF-Y036-0201-MM-108,02 GF TR 04 / ISO TRANSFORMER,02 GF TR 04,ISO TRANSFORMER,,,,,,,,
27,ZONE-12,N171L01M014,C110-GF-Y036-0201-MM-014,02-GF-TR-05 / AUX TRANSFORMER,02-GF-TR-05,AUX TRANSFORMER,,,,,,,,
28,ZONE-12,N171L01M015,C110-GF-Y036-0201-MM-015,02-GF-TR-05 / AUX TRANSFORMER,02-GF-TR-05,AUX TRANSFORMER,,,,,,,,
29,ZONE-12,N171L01M016,C110-GF-Y036-0201-MM-016,02-GF-TR-05 / AUX TRANSFORMER,02-GF-TR-05,AUX TRANSFORMER,,,,,,,,
