,gf_led,led_size
ZONE-13-128,296|131,12|6
ZONE-13-129,310|161,
ZONE-14-131,961|125,
ZONE-14-132,970|166,
ZONE-15-134,1608|125,
ZONE-15-135,1615|163,
ZONE-16-137,313|510,
ZONE-18-141,1579|504,
ZONE-13-02,290|98,
ZONE-14-02,941|96,
ZONE-15-02,1590|95,
ZONE-16-02,302|478,
ZONE-17-02,927|482,
ZONE-18-02,1575|479,
ZONE-13-09,223|161,
ZONE-14-09,879|158,
ZONE-15-09,1523|160,
ZONE-16-09,233|543,
ZONE-17-09,865|542,
ZONE-18-09,1512|543,
ZONE-13-130,297|210,
ZONE-14-133,950|204,
ZONE-15-136,1592|210,
ZONE-16-138,290|587,
ZONE-17-140,938|588,
ZONE-18-142,1572|588,
ZONE-17-03,1015|510,
ZONE-18-03,1662|510,
ZONE-18-04,1659|548,
