,GF
ZONE-02-02,248|113;263|104;288|99;308|94;338|92;359|93;384|97;407|104;428|114;248|113
ZONE-03-02,911|111;942|100;978|91;1011|90;1035|93;1060|99;1078|105;1093|112;911|111
ZONE-0.1-02,1522|119;1553|107;1579|102;1605|101;1628|101;1651|103;1675|109;1689|112;1706|121;1522|119
ZONE-01.1-02,265|514;288|503;315|496;344|494;370|495;397|499;423|505;445|513;265|514
ZONE-06.1-02,909|511;929|504;944|496;964|494;992|491;1014|491;1039|495;1064|501;1080|505;1091|513;909|511
ZONE-06.2-02,1522|512;1543|504;1557|497;1580|495;1601|493;1625|492;1648|493;1676|500;1696|506;1703|513;1522|512
ZONE-02-09,210|152;339|152;339|188;213|188;207|177;206|160;210|152
ZONE-03-09,875|151;1005|151;1005|188;879|188;873|180;871|166;875|151
ZONE-0.1-09,1485|159;1614|159;1614|196;1488|196;1481|180;1482|166;1485|159
ZONE-01.1-09,226|553;357|553;357|590;231|590;224|574;224|560;226|553
ZONE-06.1-09,870|550;1000|550;1000|587;874|587;868|573;867|558;870|550
ZONE-06.2-09,1485|549;1615|549;1615|586;1490|586;1483|573;1483|559;1485|549
ZONE-02-79,257|190;463|190;451|206;436|219;417|227;389|236;360|241;334|242;304|240;279|234;255|225;238|217;224|206;256|206;257|190
ZONE-03-81,922|189;1006|189;1006|150;1046|150;1046|188;1049|188;1049|236;1021|241;994|242;963|238;939|231;914|220;890|203;922|203;922|189
ZONE-03-83,1049|187;1127|187;1116|203;1103|215;1084|225;1067|231;1050|236;1049|187
ZONE-01.1-77,274|591;357|591;357|553;398|553;398|590;480|590;469|604;456|617;432|630;406|639;381|642;353|645;320|642;294|635;273|627;256|618;242|607;273|606;274|591
ZONE-06.2-90,1532|588;1739|588;1732|601;1720|613;1702|623;1684|630;1661|636;1641|641;1622|642;1601|643;1580|639;1553|633;1530|625;1513|614;1501|605;1531|605;1532|588
